Date,Open,High,Low,Close,Adj Close,Volume
2008-09-02,117500.000000,119999.000000,117500.000000,119999.000000,119999.000000,79800
2008-09-03,119980.000000,120330.000000,118100.000000,120300.000000,120300.000000,55900
2008-09-04,120100.000000,120950.000000,117000.000000,119350.000000,119350.000000,74700
2008-09-05,118700.000000,118700.000000,116766.000000,118100.000000,118100.000000,68200
2008-09-08,120000.000000,121000.000000,118100.000000,119650.000000,119650.000000,56400
2008-09-09,119400.000000,119800.000000,117700.000000,118000.000000,118000.000000,66100
2008-09-10,118500.000000,118500.000000,117000.000000,117000.000000,117000.000000,59600
2008-09-11,116200.000000,117500.000000,115500.000000,117500.000000,117500.000000,52000
2008-09-12,116700.000000,119500.000000,116310.000000,119500.000000,119500.000000,86500
2008-09-15,117000.000000,123100.000000,115500.000000,119900.000000,119900.000000,223200
2008-09-16,119000.000000,125010.000000,118300.000000,125000.000000,125000.000000,256200
2008-09-17,125000.000000,125600.000000,122900.000000,124800.000000,124800.000000,180000
2008-09-18,126000.000000,128900.000000,121310.000000,128010.000000,128010.000000,276500
2008-09-19,130000.000000,147000.000000,127901.000000,147000.000000,147000.000000,422800
2008-09-22,143500.000000,143500.000000,126984.000000,131000.000000,131000.000000,294500
2008-09-23,129000.000000,130950.000000,126510.000000,128800.000000,128800.000000,102100
2008-09-24,134500.000000,134888.000000,131000.000000,133300.000000,133300.000000,176900
2008-09-25,133500.000000,134950.000000,131000.000000,133100.000000,133100.000000,148200
2008-09-26,133000.000000,135000.000000,130100.000000,135000.000000,135000.000000,124000
2008-09-29,135000.000000,135000.000000,130500.000000,133800.000000,133800.000000,145400
2008-09-30,129500.000000,132950.000000,129500.000000,130600.000000,130600.000000,156300
2008-10-01,132500.000000,137000.000000,131000.000000,137000.000000,137000.000000,196300
2008-10-02,137000.000000,138600.000000,136400.000000,137900.000000,137900.000000,203100
2008-10-03,138800.000000,140900.000000,137500.000000,138500.000000,138500.000000,174100
2008-10-06,133000.000000,133650.000000,129000.000000,130800.000000,130800.000000,220600
2008-10-07,130000.000000,132200.000000,124000.000000,124000.000000,124000.000000,121900
2008-10-08,123000.000000,125000.000000,117700.000000,118000.000000,118000.000000,206600
2008-10-09,121100.000000,122800.000000,110000.000000,114000.000000,114000.000000,290500
2008-10-10,110000.000000,115500.000000,105300.000000,113100.000000,113100.000000,422000
2008-10-13,122100.000000,122200.000000,118000.000000,118000.000000,118000.000000,255200
2008-10-14,122000.000000,122000.000000,117000.000000,118850.000000,118850.000000,236200
2008-10-15,118000.000000,118200.000000,113400.000000,113400.000000,113400.000000,128400
2008-10-16,118000.000000,118000.000000,108900.000000,113150.000000,113150.000000,175200
2008-10-17,111900.000000,120800.000000,110500.000000,119800.000000,119800.000000,183900
2008-10-20,120200.000000,124000.000000,120200.000000,123500.000000,123500.000000,130800
2008-10-21,123500.000000,125450.000000,121250.000000,121550.000000,121550.000000,130600
2008-10-22,118800.000000,119310.000000,111000.000000,117950.000000,117950.000000,103800
2008-10-23,116500.000000,118200.000000,112200.000000,115100.000000,115100.000000,150900
2008-10-24,110000.000000,113200.000000,110000.000000,111900.000000,111900.000000,164300
2008-10-27,110500.000000,111100.000000,105126.000000,105126.000000,105126.000000,196200
2008-10-28,108500.000000,109400.000000,102010.000000,107900.000000,107900.000000,202100
2008-10-29,107800.000000,111690.000000,107000.000000,110400.000000,110400.000000,119000
2008-10-30,113500.000000,114400.000000,109001.000000,111700.000000,111700.000000,125800
2008-10-31,112800.000000,115750.000000,110500.000000,115490.000000,115490.000000,139900
