Date,Open,High,Low,Close,Adj Close,Volume
2008-09-02,45.470001,45.860001,43.799999,44.919998,35.418827,7912200
2008-09-03,44.939999,45.889999,44.419998,45.660000,36.002300,8823900
2008-09-04,44.400002,45.040001,43.209999,43.330002,34.165123,12457400
2008-09-05,42.099998,44.889999,42.020000,44.709999,35.253239,10750100
2008-09-08,47.840000,48.730000,45.310001,48.730000,38.422955,21244900
2008-09-09,47.990002,49.080002,45.360001,45.500000,35.876148,22166800
2008-09-10,46.029999,46.980000,45.200001,45.580002,35.939232,14315000
2008-09-11,43.950001,47.090000,43.709999,46.340000,36.538464,17254700
2008-09-12,45.400002,46.939999,44.619999,45.939999,36.223080,15831500
2008-09-15,44.290001,47.049999,44.250000,44.700001,35.245369,21655800
2008-09-16,43.419998,49.090000,42.470001,49.040001,38.667397,27845100
2008-09-17,47.599998,48.180000,44.049999,46.340000,36.538464,22822200
2008-09-18,46.970001,55.500000,45.070000,54.000000,42.578293,39320100
2008-09-19,60.799999,61.459999,54.669998,56.049999,44.194683,29237700
2008-09-22,57.619999,63.500000,53.790001,54.450001,42.933094,16204500
2008-09-23,53.009998,55.020000,52.040001,53.720001,42.357517,7918600
2008-09-24,53.869999,54.000000,51.000000,52.490002,41.387661,7974500
2008-09-25,49.000000,52.009998,48.099998,49.799999,39.266644,20519500
2008-09-26,48.250000,55.000000,47.599998,54.549999,43.011951,8210200
2008-09-29,53.470001,53.470001,44.000000,44.000000,34.693405,7794300
2008-09-30,47.490002,53.000000,45.900002,51.000000,40.212822,6780800
2008-10-01,49.259998,51.740002,48.660000,51.419998,40.543980,5897900
2008-10-02,51.400002,51.639999,45.910000,46.779999,36.885399,5401700
2008-10-03,47.660000,49.500000,44.000000,44.900002,35.403057,7627400
2008-10-06,43.000000,44.900002,40.000000,41.689999,32.872009,8823500
2008-10-07,42.830002,42.830002,37.560001,37.560001,29.615561,6954200
2008-10-08,36.049999,40.570000,35.790001,35.790001,28.219936,5681500
2008-10-09,37.400002,38.330002,30.879999,33.410000,26.343338,12993300
2008-10-10,31.700001,37.849998,31.480000,35.540001,28.022812,22145700
2008-10-13,38.669998,39.740002,35.880001,39.740002,31.334457,8189600
2008-10-14,43.470001,46.290001,41.970001,44.470001,35.063992,17072500
2008-10-15,42.599998,43.080002,37.099998,37.759998,29.773252,12223300
2008-10-16,37.619999,39.770000,34.799999,38.700001,30.514427,12655400
2008-10-17,38.950001,42.320000,35.419998,39.919998,31.476395,13834700
2008-10-20,40.500000,40.529999,37.360001,40.279999,31.760254,6840800
2008-10-21,39.740002,40.880001,38.169998,38.880001,30.656370,7020200
2008-10-22,37.119999,38.939999,35.000000,36.400002,28.700924,7165200
2008-10-23,35.930000,37.169998,32.950001,35.709999,28.156864,10028100
2008-10-24,32.049999,37.040001,31.160000,35.299999,27.833576,9395000
2008-10-27,35.900002,37.770000,34.290001,34.400002,27.123940,8435200
2008-10-28,35.049999,40.040001,34.380001,39.900002,31.460619,11711300
2008-10-29,39.009998,40.470001,37.020000,37.849998,29.844227,10110800
2008-10-30,39.000000,39.650002,37.599998,38.119999,30.057114,6723400
2008-10-31,37.070000,40.150002,37.040001,39.119999,30.845589,8133000
