Date,Open,High,Low,Close,Adj Close,Volume
2008-09-02,9.320000,9.900000,9.070000,9.170000,8.145226,31725800
2008-09-03,9.370000,9.740000,8.970000,9.110000,8.091928,18650100
2008-09-04,9.030000,9.600000,8.920000,8.960000,7.958694,17969300
2008-09-05,8.840000,9.330000,8.810000,8.810000,7.825457,15881000
2008-09-08,8.790000,9.090000,6.460000,8.590000,7.630039,27723900
2008-09-09,8.990000,9.090000,8.210000,8.230000,7.310270,16150100
2008-09-10,8.110000,8.270000,7.590000,7.870000,6.990503,15606000
2008-09-11,7.440000,8.340000,7.390000,8.090000,7.185915,14668000
2008-09-12,7.990000,8.190000,7.650000,8.130000,7.221447,12438700
2008-09-15,8.350000,8.520000,7.970000,8.050000,7.150386,27615200
2008-09-16,8.240000,10.100000,8.220000,9.940000,8.829172,47668700
2008-09-17,9.550000,9.570000,8.230000,9.000000,7.994219,21188100
2008-09-18,8.560000,9.500000,8.370000,9.450000,8.393931,23124200
2008-09-19,9.400000,9.700000,8.760000,9.670000,8.589347,17084300
2008-09-22,9.350000,9.430000,8.080000,8.700000,7.727748,21652700
2008-09-23,8.950000,9.210000,8.680000,8.850000,7.860987,16010200
2008-09-24,8.700000,8.770000,8.030000,8.030000,7.132621,15789300
2008-09-25,8.440000,8.550000,8.060000,8.060000,7.159270,14759400
2008-09-26,8.060000,8.510000,7.840000,7.950000,7.061561,12564900
2008-09-29,8.320000,8.320000,7.170000,7.330000,6.510849,14016900
2008-09-30,7.500000,7.710000,6.760000,7.450000,6.617438,11559500
2008-10-01,7.640000,8.880000,7.450000,8.550000,7.594509,17813100
2008-10-02,8.980000,8.980000,7.520000,7.910000,7.026031,19925900
2008-10-03,8.460000,8.460000,7.520000,7.860000,6.981619,12244600
2008-10-06,7.740000,7.800000,6.750000,7.240000,6.430905,14867000
2008-10-07,7.470000,7.470000,5.610000,5.710000,5.071889,20630200
2008-10-08,5.560000,6.050000,5.100000,5.640000,5.009712,14440400
2008-10-09,6.090000,6.560000,5.540000,5.660000,5.027477,18419200
2008-10-10,5.610000,6.040000,5.280000,6.030000,5.356128,23903100
2008-10-13,6.560000,6.800000,6.090000,6.800000,6.040079,13758400
2008-10-14,7.130000,7.420000,6.630000,7.350000,6.528614,16499100
2008-10-15,7.050000,7.930000,6.930000,7.440000,6.608555,17699700
2008-10-16,7.630000,8.890000,7.450000,8.840000,7.852103,24894700
2008-10-17,8.340000,9.190000,8.290000,9.190000,8.162987,21158000
2008-10-20,8.900000,9.410000,8.590000,9.410000,8.358402,14318600
2008-10-21,9.600000,10.250000,9.260000,9.760000,8.669289,20725600
2008-10-22,9.910000,10.660000,8.600000,9.930000,8.820290,23933600
2008-10-23,9.460000,9.800000,8.440000,8.800000,7.816571,14302200
2008-10-24,8.000000,9.410000,7.840000,8.310000,7.381330,14406800
2008-10-27,8.560000,8.840000,7.510000,7.660000,6.803971,17844900
2008-10-28,8.160000,8.420000,7.200000,8.160000,7.248094,15803300
2008-10-29,8.040000,8.470000,7.750000,7.990000,7.097091,21301800
2008-10-30,8.760000,9.550000,8.480000,9.550000,8.482758,19420700
2008-10-31,9.860000,11.900000,9.400000,10.980000,9.752950,36638200
