Date,Open,High,Low,Close,Adj Close,Volume
2008-09-02,4.670000,4.810000,4.450000,4.510000,2.771156,53438100
2008-09-03,4.550000,4.690000,4.490000,4.570000,2.808023,83810300
2008-09-04,4.540000,4.650000,4.390000,4.390000,2.697422,87631600
2008-09-05,4.370000,4.420000,4.260000,4.410000,2.709710,60086400
2008-09-08,4.610000,4.690000,4.320000,4.550000,2.795734,72290500
2008-09-09,4.580000,4.670000,4.390000,4.400000,2.703567,51680400
2008-09-10,4.440000,4.500000,4.380000,4.470000,2.746577,39337000
2008-09-11,4.380000,4.750000,4.360000,4.680000,2.875611,85570900
2008-09-12,4.720000,4.990000,4.600000,4.910000,3.016934,130052100
2008-09-15,4.610000,5.070000,4.500000,4.740000,2.912479,103371800
2008-09-16,4.600000,5.180000,4.550000,5.070000,3.115246,99320600
2008-09-17,5.000000,5.040000,4.630000,4.940000,3.035368,123013000
2008-09-18,4.990000,5.350000,4.760000,5.280000,3.244279,110424200
2008-09-19,5.660000,5.700000,5.150000,5.290000,3.250424,91329800
2008-09-22,5.340000,5.340000,4.860000,4.950000,3.041512,51346000
2008-09-23,5.050000,5.050000,4.810000,4.860000,2.986212,21385400
2008-09-24,4.960000,5.030000,4.810000,5.030000,3.090668,28053700
2008-09-25,5.050000,5.200000,4.920000,4.980000,3.059945,27479200
2008-09-26,4.850000,5.000000,4.720000,4.810000,2.955490,37182700
2008-09-29,4.800000,4.900000,4.170000,4.170000,2.562244,35350600
2008-09-30,4.550000,5.200000,4.400000,5.200000,3.195123,42971100
2008-10-01,4.750000,4.950000,4.490000,4.550000,2.795734,38054900
2008-10-02,4.510000,4.610000,4.350000,4.350000,2.672844,28661600
2008-10-03,4.470000,4.470000,4.050000,4.050000,2.488511,43056400
2008-10-06,3.990000,4.020000,3.320000,3.690000,2.267309,64827900
2008-10-07,3.790000,3.900000,2.920000,2.920000,1.794185,71723500
2008-10-08,2.960000,5.470000,2.100000,2.660000,1.634429,127853400
2008-10-09,2.880000,3.000000,2.030000,2.080000,1.278049,130226600
2008-10-10,2.070000,2.550000,1.880000,1.990000,1.222749,196889000
2008-10-13,2.980000,2.980000,2.310000,2.390000,1.468528,121924900
2008-10-14,2.970000,2.970000,2.400000,2.450000,1.505395,82762600
2008-10-15,2.520000,2.550000,2.290000,2.300000,1.413227,54074200
2008-10-16,2.480000,2.480000,2.050000,2.270000,1.394795,69338900
2008-10-17,2.250000,2.540000,2.160000,2.430000,1.493106,65637000
2008-10-20,2.550000,2.610000,2.320000,2.330000,1.431661,45017700
2008-10-21,2.220000,2.310000,2.130000,2.170000,1.333350,51397400
2008-10-22,2.190000,2.210000,2.070000,2.100000,1.290339,43730200
2008-10-23,2.160000,2.160000,1.920000,2.000000,1.228894,71762400
2008-10-24,1.840000,2.080000,1.800000,2.010000,1.235038,65620400
2008-10-27,2.050000,2.090000,1.940000,2.030000,1.247327,35707500
2008-10-28,2.200000,2.240000,2.080000,2.150000,1.321061,58590200
2008-10-29,2.190000,2.280000,2.100000,2.160000,1.327205,77508000
2008-10-30,2.270000,2.280000,2.110000,2.280000,1.400939,65288100
2008-10-31,2.210000,2.300000,2.170000,2.190000,1.345639,64651600
