Date,Open,High,Low,Close,Adj Close,Volume
2008-09-02,9.279000,9.697000,9.279000,9.520000,8.717950,9348000
2008-09-03,9.430000,9.648000,9.408000,9.496000,8.695969,3545000
2008-09-04,9.251000,9.394000,8.931000,9.034000,8.272891,6740000
2008-09-05,8.768000,9.123000,8.700000,9.042000,8.280217,7900000
2008-09-08,9.585000,9.585000,9.165000,9.410000,8.617214,10033000
2008-09-09,9.244000,9.351000,8.658000,8.694000,7.961538,8840000
2008-09-10,8.760000,9.049000,8.610000,8.866000,8.119048,5060000
2008-09-11,8.515000,8.730000,8.300000,8.719000,7.984429,6879000
2008-09-12,8.598000,8.848000,8.425000,8.750000,8.012820,4669000
2008-09-15,8.052000,8.285000,7.757000,7.833000,7.173076,9038000
2008-09-16,7.764000,8.164000,7.571000,8.125000,7.440475,13217000
2008-09-17,7.986000,7.986000,7.401000,7.697000,7.048534,8682000
2008-09-18,7.905000,8.647000,7.530000,8.560000,7.838827,10085000
2008-09-19,9.200000,9.289000,8.777000,9.070000,8.305857,8319000
2008-09-22,8.716000,9.118000,8.600000,8.674000,7.943223,8043000
2008-09-23,8.430000,9.170000,8.420000,9.170000,8.397433,3915000
2008-09-24,9.141000,9.550000,9.025000,9.466000,8.668496,3443000
2008-09-25,9.355000,9.588000,9.267000,9.534000,8.730766,5355000
2008-09-26,9.050000,9.317000,8.900000,9.149000,8.378204,4496000
2008-09-29,8.600000,8.978000,7.200000,7.614000,6.972527,7043000
2008-09-30,8.002000,8.574000,8.002000,8.495000,7.779302,3165000
2008-10-01,9.600000,9.600000,8.556000,8.772000,8.032967,2796000
2008-10-02,8.558000,8.652000,8.400000,8.650000,7.921244,2161000
2008-10-03,8.774000,9.148000,8.311000,8.600000,7.875457,3156000
2008-10-06,7.717000,8.082000,7.220000,7.500000,6.868131,6715000
2008-10-07,7.400000,7.400000,6.897000,7.045000,6.451463,5939000
2008-10-08,6.888000,7.648000,6.720000,7.014000,6.423076,5777000
2008-10-09,7.173000,7.300000,6.200000,6.635000,6.076006,8352000
2008-10-10,6.150000,6.401000,5.936000,6.200000,5.677655,13403000
2008-10-13,7.100000,7.426000,6.612000,7.386000,6.763735,14235000
2008-10-14,7.540000,7.540000,6.700000,7.167000,6.563185,11801000
2008-10-15,7.132000,7.132000,6.099000,6.220000,5.695970,9624000
2008-10-16,6.601000,6.700000,5.975000,6.700000,6.135530,13177000
2008-10-17,6.200000,6.799000,6.172000,6.549000,5.997252,8942000
2008-10-20,6.707000,6.867000,6.605000,6.842000,6.265566,4692000
2008-10-21,6.699000,6.827000,6.376000,6.428000,5.886446,7164000
2008-10-22,6.123000,6.198000,5.710000,5.810000,5.320512,8840000
2008-10-23,6.010000,6.174000,5.778000,6.054000,5.543955,7781000
2008-10-24,5.300000,5.580000,5.226000,5.301000,4.854395,10191000
2008-10-27,5.263000,5.500000,5.219000,5.219000,4.779303,6252000
2008-10-28,5.651000,6.095000,5.525000,6.063000,5.552197,8064000
2008-10-29,5.701000,6.040000,5.623000,5.808000,5.318681,11280000
2008-10-30,6.100000,6.547000,6.098000,6.469000,5.923991,9161000
2008-10-31,6.547000,6.764000,6.500000,6.560000,6.007325,7469000
