Date,Open,High,Low,Close,Adj Close,Volume
2008-09-02,4.452857,4.571429,4.361429,4.405714,4.405714,8938300
2008-09-03,4.440000,4.530000,4.380000,4.415714,4.415714,5409600
2008-09-04,4.377143,4.471429,4.235714,4.267143,4.267143,13195000
2008-09-05,4.205714,4.261429,4.075714,4.237143,4.237143,10923500
2008-09-08,4.310000,4.401429,4.227143,4.307143,4.307143,11142600
2008-09-09,4.297143,4.342857,4.104286,4.105714,4.105714,9315600
2008-09-10,4.145714,4.164286,4.062857,4.107143,4.107143,8769600
2008-09-11,4.025714,4.144286,3.940000,4.118571,4.118571,8371300
2008-09-12,4.047143,4.242857,4.045714,4.207143,4.207143,7381500
2008-09-15,4.168571,4.311429,3.997143,4.015714,4.015714,6594000
2008-09-16,3.962857,4.107143,3.924286,4.065714,4.065714,10801700
2008-09-17,4.045714,4.257143,4.000000,4.122857,4.122857,11447800
2008-09-18,4.080000,4.454286,4.080000,4.434286,4.434286,18216800
2008-09-19,4.571429,4.852857,4.411429,4.562857,4.562857,14959000
2008-09-22,4.485714,4.600000,4.440000,4.530000,4.530000,6972000
2008-09-23,4.548571,4.642857,4.472857,4.504286,4.504286,5840800
2008-09-24,4.501429,4.631429,4.364286,4.538571,4.538571,5910100
2008-09-25,4.555714,4.728571,4.472857,4.710000,4.710000,6216700
2008-09-26,4.608571,4.705714,4.501429,4.695714,4.695714,3914400
2008-09-29,4.617143,4.701429,4.442857,4.514286,4.514286,8029000
2008-09-30,4.574286,4.641429,4.254286,4.411429,4.411429,10700200
2008-10-01,4.332857,4.381429,4.225714,4.291429,4.291429,6501600
2008-10-02,4.257143,4.285714,4.044286,4.185714,4.185714,5233200
2008-10-03,4.172857,4.428571,4.100000,4.138571,4.138571,5013400
2008-10-06,3.714286,3.830000,3.598571,3.784286,3.784286,28088200
2008-10-07,3.831429,3.838571,3.121429,3.187143,3.187143,12485900
2008-10-08,3.132857,3.394286,3.071429,3.248571,3.248571,13895000
2008-10-09,3.250000,3.442857,3.242857,3.277143,3.277143,12521600
2008-10-10,3.187143,3.550000,3.088571,3.470000,3.470000,9565500
2008-10-13,3.608571,3.742857,3.555714,3.628571,3.628571,8341900
2008-10-14,3.751429,3.762857,3.380000,3.434286,3.434286,9631300
2008-10-15,3.412857,3.454286,3.215714,3.215714,3.215714,5328400
2008-10-16,3.274286,3.372857,3.098571,3.350000,3.350000,9604700
2008-10-17,3.237143,3.481429,3.212857,3.328571,3.328571,6604500
2008-10-20,3.434286,3.527143,3.208571,3.400000,3.400000,9104900
2008-10-21,3.357143,3.357143,2.960000,2.978571,2.978571,14900900
2008-10-22,2.965714,3.040000,2.862857,2.957143,2.957143,12454400
2008-10-23,2.894286,3.021429,2.868571,2.970000,2.970000,11550700
2008-10-24,2.858571,2.891429,2.694286,2.707143,2.707143,12054700
2008-10-27,2.712857,2.817143,2.557143,2.562857,2.562857,10336200
2008-10-28,2.620000,2.941429,2.578571,2.938571,2.938571,14797300
2008-10-29,2.910000,3.285714,2.857143,3.108571,3.108571,10268300
2008-10-30,3.278571,3.328571,3.127143,3.254286,3.254286,8499400
2008-10-31,3.264286,3.638571,3.198571,3.537143,3.537143,10673600
