Date,Open,High,Low,Close,Adj Close,Volume
2008-09-02,72.839996,73.959999,72.449997,73.440002,50.999386,2963700
2008-09-03,73.129997,74.260002,72.290001,74.120003,51.471592,3308000
2008-09-04,73.889999,74.160004,72.639999,72.750000,50.520229,4540600
2008-09-05,72.139999,74.559998,71.099998,74.290001,51.589653,5003100
2008-09-08,76.639999,77.930000,74.209999,76.779999,53.318817,8462800
2008-09-09,75.830002,76.860001,72.790001,72.849998,50.589649,5910000
2008-09-10,71.660004,73.209999,69.769997,70.860001,49.207729,6896900
2008-09-11,69.059998,73.290001,68.660004,73.019997,50.707718,6446700
2008-09-12,71.750000,73.559998,71.410004,72.970001,50.672985,6183300
2008-09-15,70.510002,74.489998,69.650002,70.419998,48.902191,7650100
2008-09-16,68.500000,76.800003,67.750000,76.779999,53.318817,9705000
2008-09-17,75.099998,76.339996,70.190002,71.959999,49.971622,9199000
2008-09-18,73.809998,80.000000,66.260002,79.000000,54.860432,13849200
2008-09-19,86.010002,87.989998,78.580002,81.209999,56.395142,9236600
2008-09-22,81.110001,81.110001,75.029999,75.599998,52.499367,3576000
2008-09-23,75.000000,77.709999,71.680000,71.680000,49.777184,2704000
2008-09-24,73.449997,75.949997,72.540001,72.809998,50.561874,3928100
2008-09-25,72.510002,74.660004,71.970001,72.300003,50.207741,2792900
2008-09-26,71.750000,77.440002,70.519997,75.500000,52.429905,4199800
2008-09-29,75.000000,77.989998,68.000000,68.000000,47.221649,5947200
2008-09-30,71.410004,78.000000,68.029999,74.699997,51.874348,4191800
2008-10-01,75.000000,79.000000,73.099998,77.400002,53.749359,4290600
2008-10-02,78.500000,79.000000,76.089996,77.680000,53.943779,3643500
2008-10-03,78.750000,80.000000,74.150002,74.150002,51.492420,3847700
2008-10-06,73.000000,77.860001,71.089996,75.400002,52.360477,4826600
2008-10-07,76.120003,76.190002,69.300003,69.300003,48.124397,3912900
2008-10-08,67.400002,72.300003,63.529999,67.750000,47.500416,4939600
2008-10-09,68.010002,68.900002,59.849998,59.849998,41.961632,6746000
2008-10-10,57.590000,68.000000,56.349998,68.000000,47.675709,8589300
2008-10-13,71.019997,72.470001,64.739998,68.349998,47.921097,6261400
2008-10-14,69.279999,69.309998,58.459999,63.040001,44.198181,12541800
2008-10-15,61.750000,64.500000,60.009998,61.500000,43.118458,6621100
2008-10-16,60.369999,63.099998,57.000000,61.400002,43.048355,7650800
2008-10-17,59.759998,62.209999,57.419998,57.939999,40.622498,4132100
2008-10-20,57.029999,60.049999,56.869999,59.660000,41.828430,3380200
2008-10-21,58.700001,60.959999,58.639999,58.990002,41.358677,2702700
2008-10-22,58.130001,59.340000,54.520000,55.619999,38.995918,4487900
2008-10-23,55.840000,57.060001,54.060001,56.880001,39.879322,4958000
2008-10-24,42.509998,61.000000,42.509998,58.880001,41.281551,16126800
2008-10-27,58.599998,61.840000,57.410000,58.630001,41.106270,9079700
2008-10-28,60.570000,65.489998,58.270000,65.440002,45.880852,7229300
2008-10-29,64.610001,66.769997,61.529999,62.820000,44.043938,7172300
2008-10-30,65.790001,66.180000,63.160000,64.470001,45.200771,5330100
2008-10-31,64.209999,66.980003,63.150002,66.669998,46.743233,5365200
