Date,Open,High,Low,Close,Adj Close,Volume
2008-09-02,22.040001,22.500000,20.260000,20.580000,20.580000,756900
2008-09-03,22.709999,23.670000,21.070000,21.799999,21.799999,2118300
2008-09-04,21.590000,21.870001,20.320000,20.379999,20.379999,681100
2008-09-05,20.389999,20.730000,18.209999,19.070000,19.070000,1135500
2008-09-08,19.590000,19.750000,18.700001,18.900000,18.900000,620800
2008-09-09,18.830000,19.790001,18.480000,18.520000,18.520000,634500
2008-09-10,18.799999,19.549999,18.700001,19.430000,19.430000,667100
2008-09-11,19.049999,20.610001,18.719999,20.580000,20.580000,710000
2008-09-12,20.330000,20.900000,19.840000,20.709999,20.709999,487500
2008-09-15,20.480000,21.709999,19.780001,20.450001,20.450001,536400
2008-09-16,20.790001,21.840000,20.480000,21.639999,21.639999,578700
2008-09-17,21.360001,21.469999,20.360001,20.879999,20.879999,611100
2008-09-18,21.299999,23.080000,20.250000,22.980000,22.980000,1288200
2008-09-19,23.580000,24.000000,22.040001,23.070000,23.070000,2398500
2008-09-22,22.840000,23.520000,21.650000,21.709999,21.709999,853000
2008-09-23,21.639999,22.320000,21.000000,21.100000,21.100000,395100
2008-09-24,21.219999,22.000000,20.770000,20.969999,20.969999,356900
2008-09-25,21.139999,21.930000,20.940001,21.459999,21.459999,295100
2008-09-26,20.980000,22.740000,20.930000,22.709999,22.709999,650800
2008-09-29,22.230000,24.000000,21.559999,21.879999,21.879999,656800
2008-09-30,22.150000,22.459999,21.180000,21.830000,21.830000,492700
2008-10-01,21.590000,22.820000,21.219999,22.820000,22.820000,491900
2008-10-02,22.610001,22.660000,21.170000,21.360001,21.360001,410400
2008-10-03,21.969999,22.129999,20.700001,20.959999,20.959999,672900
2008-10-06,20.500000,20.520000,18.090000,19.840000,19.840000,895100
2008-10-07,20.170000,20.830000,18.740000,18.920000,18.920000,563300
2008-10-08,18.170000,19.770000,17.910000,18.940001,18.940001,800200
2008-10-09,19.139999,19.700001,16.780001,16.870001,16.870001,593500
2008-10-10,16.350000,17.490000,14.440000,17.139999,17.139999,1461500
2008-10-13,17.700001,19.600000,15.990000,19.590000,19.590000,644500
2008-10-14,20.430000,20.430000,18.570000,19.250000,19.250000,460100
2008-10-15,19.020000,19.200001,17.100000,17.110001,17.110001,426800
2008-10-16,17.219999,19.299999,16.700001,19.290001,19.290001,915900
2008-10-17,18.559999,19.870001,17.860001,18.750000,18.750000,561700
2008-10-20,19.170000,19.500000,18.500000,19.400000,19.400000,488700
2008-10-21,19.110001,19.980000,18.410000,19.250000,19.250000,340400
2008-10-22,18.719999,19.950001,18.219999,18.690001,18.690001,312000
2008-10-23,18.690001,19.139999,17.200001,17.700001,17.700001,591300
2008-10-24,16.690001,17.309999,16.150000,16.150000,16.150000,662300
2008-10-27,15.960000,16.170000,15.150000,15.460000,15.460000,613700
2008-10-28,15.830000,16.750000,14.650000,16.750000,16.750000,695900
2008-10-29,16.790001,18.150000,16.090000,17.430000,17.430000,685000
2008-10-30,17.950001,18.559999,17.270000,18.139999,18.139999,424500
2008-10-31,17.930000,20.040001,17.590000,19.299999,19.299999,577500
