Date,Open,High,Low,Close,Adj Close,Volume
2008-09-02,59.900002,60.990002,59.500000,59.650002,43.229660,23022600
2008-09-03,59.590000,60.230000,59.160000,59.790001,43.331142,15823500
2008-09-04,60.000000,60.889999,59.700001,59.779999,43.323887,27613000
2008-09-05,59.400002,60.880001,59.020000,60.740002,44.019611,22823700
2008-09-08,61.389999,62.009998,60.250000,62.000000,44.932774,28564100
2008-09-09,61.650002,62.360001,60.910000,61.130001,44.302261,25367900
2008-09-10,61.450001,62.480000,61.209999,62.020000,44.947266,23569000
2008-09-11,61.520000,63.230000,61.270000,63.169998,45.780701,28990100
2008-09-12,62.709999,62.869999,61.580002,62.410000,45.229908,19141600
2008-09-15,61.200001,62.500000,61.090000,61.630001,44.664631,25802300
2008-09-16,61.000000,63.180000,61.000000,62.139999,45.034241,33389900
2008-09-17,61.680000,61.980000,59.220001,59.639999,43.222427,41250600
2008-09-18,60.540001,61.660000,59.099998,61.480000,44.555901,41697400
2008-09-19,63.220001,63.849998,59.450001,59.700001,43.265911,44546700
2008-09-22,59.450001,59.919998,58.750000,58.889999,42.678886,22084300
2008-09-23,58.910000,59.910000,58.330002,58.400002,42.323784,22176600
2008-09-24,58.900002,59.380001,58.150002,58.919998,42.700611,17200400
2008-09-25,59.340000,60.470001,59.020000,60.119999,43.570309,21429500
2008-09-26,59.080002,60.900002,59.080002,60.709999,43.997879,21199800
2008-09-29,60.049999,60.849998,58.270000,58.450001,42.360004,27535200
2008-09-30,59.180000,60.009998,57.740002,59.889999,43.403606,26925700
2008-10-01,59.509998,60.299999,58.990002,59.660000,43.236923,23363700
2008-10-02,59.660000,59.849998,58.230000,58.849998,42.649895,21199900
2008-10-03,59.400002,60.220001,58.869999,59.730000,43.287647,31118600
2008-10-06,58.689999,59.549999,54.549999,57.900002,41.961403,39728800
2008-10-07,58.720001,58.720001,54.450001,54.840000,39.743759,34551400
2008-10-08,53.709999,56.770000,52.750000,54.549999,39.533596,47796100
2008-10-09,54.669998,55.340000,49.759998,51.389999,37.243477,41184600
2008-10-10,49.029999,54.230000,47.400002,50.950001,36.924576,51587500
2008-10-13,52.680000,54.709999,51.200001,54.500000,39.497356,29554100
2008-10-14,56.029999,56.070000,52.720001,54.439999,39.453873,28559900
2008-10-15,53.439999,53.599998,49.880001,50.049999,36.272343,27945200
2008-10-16,50.570000,55.020000,48.730000,54.619999,39.584324,47390100
2008-10-17,53.750000,55.380001,49.709999,53.770000,38.968304,31223000
2008-10-20,54.650002,54.689999,52.380001,54.430000,39.446613,28415000
2008-10-21,54.180000,55.500000,53.560001,53.669998,38.895828,19444300
2008-10-22,53.080002,53.570000,51.139999,52.270000,37.881237,28203700
2008-10-23,52.369999,53.180000,50.000000,52.759998,38.236340,34945300
2008-10-24,50.000000,52.970001,49.990002,51.400002,37.250721,29809800
2008-10-27,50.849998,52.009998,49.599998,49.669998,35.996944,26744800
2008-10-28,50.939999,55.720001,50.799999,55.169998,39.982922,42005400
2008-10-29,55.130001,56.799999,53.549999,55.020000,39.874207,34233900
2008-10-30,55.959999,56.000000,53.810001,54.750000,39.678551,23324700
2008-10-31,55.000000,56.770000,54.270000,55.810001,40.446743,26031500
